district,name,latitude,longitude
Phra Nakhon District,โรงเรียนวัดราชนัดดาราม,13.7554133,100.503825
Phra Nakhon District,Baanchao Yoga,13.7632303,100.4947978
Phra Nakhon District,Phra Nakhon District school 1,13.7510215,100.5020515
Phra Nakhon District,โรงเรียนวัดใหม่อมตรส,13.764855,100.5014988
Phra Nakhon District,Phra Nakhon District school 2,13.7542865,100.4987897
Phra Nakhon District,โรงเรียนพระปริยัติธรรม หอติสสเทวาภิธาน,13.7490585,100.5002613
Phra Nakhon District,โรงเรียนมัธยมวัดมกุฎกษัตริย์,13.7642131,100.5079095
Phra Nakhon District,Kumon,13.7626913,100.4968998
Phra Nakhon District,โรงเรียนวัดสังเวช,13.7639615,100.4971553
Phra Nakhon District,สถาบันบัณฑิตพัฒนศิลป์,13.7595937,100.4915173
Phra Nakhon District,โรงเรียนราชินี,13.7426308,100.4937753
Phra Nakhon District,โรงเรียนวัดราชบพิธ,13.744293,100.4953136
Phra Nakhon District,โรงเรียนสวนกุหลาบวิทยาลัย,13.7428698,100.497977
Phra Nakhon District,โรงเรียนสตรีวรนาถ,13.7671813,100.5044099
Phra Nakhon District,โรงเรียนสตรีวิทยา,13.7578933,100.5011406
Phra Nakhon District,โรงเรียนวัดบวรนิเวศ,13.7588647,100.5017198
Phra Nakhon District,โรงเรียนวัดสุทัศน์,13.7489293,100.5013191
Phra Nakhon District,มหาวิทยาลัยธรรมศาสตร์ ท่าพระจันทร์,13.7576153,100.4906765
Phra Nakhon District,มหาวิทยาลัยศิลปากร วังท่าพระ,13.7530631,100.4903499
Phra Nakhon District,มหาวิทยาลัยมหามกุฏราชวิทยาลัย,13.7595714,100.5007333
Samphanthawong District,โรงเรียนวัดสัมพันธวงศ์,13.7383279,100.5095732
Samphanthawong District,โรงเรียนเผยอิง,13.7392764,100.5070383
Samphanthawong District,โรงเรียนวัดปทุมคงคา,13.7369043,100.5109768
Samphanthawong District,โรงเรียนวัดจักรวรรดิ,13.7428389,100.5038092
Samphanthawong District,โรงเรียนกุหลาบวิทยา,13.7314723,100.5130895
Samphanthawong District,โรงเรียนไตรมิตรวิทยาลัย,13.7387255,100.5139626
Samphanthawong District,โรงเรียนมหาวีรานุวัตร,13.7381829,100.5142848
Samphanthawong District,โรงเรียนวัดชัยชนะสงคราม,13.743998,100.5058267
Samphanthawong District,มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์ พื้นที่บพิตรพิมุข จักรวรรดิ,13.7421741,100.5021924
Pom Prap Sattru Phai District,โรงเรียนวัดสิตาราม,13.7553949,100.5100181
Pom Prap Sattru Phai District,โรงเรียนวัดดิสานุการาม,13.7490242,100.5080412
Pom Prap Sattru Phai District,โรงเรียนวัดคณิกาผล,13.7446373,100.51
Pom Prap Sattru Phai District,โรงเรียนวัดโสมนัส,13.7612191,100.5111243
Pom Prap Sattru Phai District,โรงเรียนเทพศิรินทร์,13.7467549,100.5156352
Pom Prap Sattru Phai District,โรงเรียนวัดพลับพลาชัย,13.7457428,100.513131
Pom Prap Sattru Phai District,โรงเรียนสายปัญญา ในพระบรมราชินูปถัมภ์,13.7432136,100.5151068
Pom Prap Sattru Phai District,โรงเรียนวัดพระพิเรนทร์,13.7475701,100.5057523
Pom Prap Sattru Phai District,โรงเรียนวัดสระเกศ,13.7532035,100.5089955
Bang Rak District,โรงเรียนอัสสัมชัญคอนแวนต์,13.7227984,100.5142688
Bang Rak District,โรงเรียนอัสสัมชัญศึกษา,13.7222262,100.5154504
Bang Rak District,โรงเรียนอัสสัมชัญ,13.7230842,100.5159137
Bang Rak District,โรงเรียนวัดม่วงแค,13.726224,100.5151192
Bang Rak District,โรงเรียนกรุงเทพคริสเตียนวิทยาลัย,13.7209439,100.5226821
Bang Rak District,โรงเรียนคริสต์ธรรมวิทยา,13.7344127,100.5234602
Bang Rak District,โรงเรียนเซนต์โยเซฟคอนเวนต์,13.7261371,100.5348391
Bang Rak District,Silom Thai Cooking school,13.7226412,100.5244196
Bang Rak District,โรงเรียนพุทธจักรวิทยา,13.7306635,100.5295646
Bang Rak District,โรงเรียนยุหมินพัฒนา,13.7272696,100.5196481
Bang Rak District,โรงเรียนวัดหัวลำโพง,13.7319118,100.5286749
Bang Rak District,โรงเรียนมัธยมปัญญารัตน์,13.7258735,100.5234343
Bang Rak District,โรงเรียนกว่างเจ้า,13.7243002,100.5266979
Bang Rak District,โรงเรียนอัสสัมชัญคอนแวนต์ สีลม,13.721893,100.5218048
Bang Rak District,โรงเรียนสตรีวัดมหาพฤฒาราม,13.732024,100.5162486
Bang Rak District,โรงเรียนนานาชาติเซนต์แอนดรูส์ สาทร,13.7251969,100.5356541
Pathum Wan District,สถาบันดนตรี เคพีเอ็น มิวสิค,13.7448769,100.5343626
Pathum Wan District,โรงเรียนวัดชัยมงคล,13.7478266,100.52334
Pathum Wan District,โรงเรียนเตรียมอุดมศึกษา,13.7402438,100.5300702
Pathum Wan District,Royal Symphony Music,13.7342958,100.545333
Pathum Wan District,โรงเรียนสวนลุมพินี,13.7330461,100.545346
Pathum Wan District,โรงเรียนเตรียมอุดมศึกษา,13.7408819,100.532578
Pathum Wan District,โรงเรียนสาธิต มศว ปทุมวัน,13.7401753,100.5341229
Pathum Wan District,โรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายประถม,13.7375383,100.5271306
Pathum Wan District,โรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายมัธยม,13.7360441,100.5271831
Pathum Wan District,โรงเรียนมาแตร์เดอีวิทยาลัย,13.7428929,100.5430052
Pathum Wan District,โรงเรียนประเสริฐธรรมวิทยา,13.7391435,100.5217679
Pathum Wan District,โรงเรียนวัดดวงแข,13.7420406,100.5194848
Pathum Wan District,โรงเรียนสีตบุตรบำรุง,13.7429767,100.5211442
Pathum Wan District,โรงเรียนสุนีพิทยา,13.7266969,100.5505781
Pathum Wan District,โรงเรียนวัดปทุมวนาราม,13.7474646,100.5372441
Pathum Wan District,โรงเรียนปลูกจิต,13.72824,100.5499034
Pathum Wan District,ศูนย์ฝึกอาชีพสวนลุมพินี,13.7335804,100.5431273
Pathum Wan District,โรงเรียนนานาชาติ อาร์ซี,13.7391779,100.55043
Pathum Wan District,โรงเรียนพระมหาไถ่ศึกษา,13.7354229,100.5494911
Pathum Wan District,คณะวิศวกรรมศาสตร์,13.7365936,100.5330593
Pathum Wan District,คณะวิทยาศาสตร์,13.7363538,100.530286
Pathum Wan District,คณะสถาปัตยกรรมศาสตร์,13.7398649,100.5308187
Pathum Wan District,คณะอักษรศาสตร์,13.7388791,100.5337415
Pathum Wan District,คณะศิลปกรรมศาสตร์,13.7395257,100.5328912
Pathum Wan District,คณะรัฐศาสตร์,13.7346002,100.5330383
Pathum Wan District,คณะเศรษฐศาสตร์,13.7343028,100.5315502
Pathum Wan District,คณะพาณิชยศาสตร์และการบัญชี,13.7340766,100.5302752
Pathum Wan District,คณะครุศาสตร์,13.7372611,100.5284795
Pathum Wan District,คณะนิเทศศาสตร์,13.7362092,100.5286689
Pathum Wan District,คณะนิติศาสตร์,13.7354365,100.5284941
Pathum Wan District,สถาบันบัณฑิตบริหารธุรกิจศศินทร์,13.7428138,100.5272951
Pathum Wan District,สำนักวิทยาศาสตร์การกีฬา,13.743637,100.527133
Pathum Wan District,คณะเภสัชศาสตร์,13.7435459,100.5313458
Pathum Wan District,คณะทันตแพทยศาสตร์,13.7432557,100.5342388
Pathum Wan District,คณะสัตวแพทยศาสตร์,13.7424803,100.5341873
Pathum Wan District,คณะแพทยศาสตร์,13.7337335,100.5367485
Pathum Wan District,มหาวิทยาลัยเทคโนโลยีราชมงคล วิทยาเขตอุเทนถวาย,13.7418147,100.5311981
Pathum Wan District,สถาบันเทคโนโลยีปทุมวัน,13.7482694,100.5258558
Pathum Wan District,จุฬาลงกรณ์มหาวิทยาลัย,13.7385748,100.5313967
Ratchathewi District,Tantimedh Kindergarten,13.756047,100.535656
Ratchathewi District,โรงเรียนสอนคนตาบอด,13.7683875,100.5292637
Ratchathewi District,Siam Singapore International School,13.7553477,100.5278801
Ratchathewi District,MORU Epidemiology,13.7649047,100.5341009
Ratchathewi District,โรงเรียนดุสิตพาณิชยการ,13.7626793,100.5401925
Ratchathewi District,โรงเรียนศรีอยุธยา,13.7585373,100.5389618
Ratchathewi District,โรงเรียนเซนต์ดอมินิก,13.74885,100.559686
Ratchathewi District,วิทยาลัยเทคโนโลยีดอนบอสโก,13.7501405,100.5603491
Ratchathewi District,The Brain,13.7642483,100.5405596
Ratchathewi District,โรงเรียนสันติราษฎร์วิทยาลัย,13.7580267,100.5325207
Ratchathewi District,โรงเรียนสวนมิสกวัน,13.7637839,100.5314211
Ratchathewi District,โรงเรียนอำนวยศิลป์,13.7600483,100.5277483
Ratchathewi District,โรงเรียนพญาไท,13.7595524,100.5288628
Ratchathewi District,โรงเรียนกิ่งเพชร,13.7514532,100.526575
Ratchathewi District,โรงเรียนวัดพระยายัง,13.7523641,100.5219818
Ratchathewi District,โรงเรียนโกวิทธำรง,13.7571451,100.5441476
Ratchathewi District,คณะเภสัชศาสตร์ มหาวิทยาลัยมหิดล,13.7611706,100.5286624
Ratchathewi District,คณะทันตแพทยศาสตร์ มหาวิทยาลัยมหิดล,13.7641328,100.5332577
Ratchathewi District,คณะวิทยาศาสตร์ มหาวิทยาลัยมหิดล,13.7647094,100.5254721
Ratchathewi District,คณะเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล,13.7655325,100.5337771
Ratchathewi District,คณะสาธารณสุขศาสตร์ มหาวิทยาลัยมหิดล,13.7662768,100.5340769
Ratchathewi District,อาคารส่วนวิทยบริการ,13.7666667,100.5338196
Ratchathewi District,มหาวิทยาลัยมหิดล (วิทยาเขตพญาไท),13.7649995,100.5289564
Phaya Thai District,โรงเรียนสามเสนวิทยาลัย,13.7845984,100.5334395
Phaya Thai District,โรงเรียนวัดไผ่ตัน,13.7962252,100.548259
Phaya Thai District,โรงเรียนสวนบัว,13.7777687,100.5409774
Phaya Thai District,โรงเรียนอนุบาลสามเสน,13.7886268,100.5375986
Phaya Thai District,Rasami British International School Bangkok,13.7660532,100.545058
Phaya Thai District,โรงเรียนรุจิเสรีวิทยา,13.7846078,100.5532204
Phaya Thai District,Maple Bear International School,13.7803615,100.5490856
Phaya Thai District,โรงเรียนธำรงวิทย์,13.7766939,100.5450445
Phaya Thai District,วิทยาลัยการจัดการ มหาวิทยาลัยมหิดล,13.7688562,100.5498421
Dusit District,โรงเรียนเซนต์ฟรังซีสเซเวียร์,13.7769289,100.5057724
Dusit District,โรงเรียนมัธยมวัดเบญจมพบิตร,13.7659596,100.5126929
Dusit District,โรงเรียนเบญจมบพิตร,13.7647502,100.5135388
Dusit District,โรงเรียนวัดราขผาติการาม,13.7803666,100.5046356
Dusit District,โรงเรียนทีปังกรวิทยาพัฒน์,13.7824453,100.5107101
Dusit District,โรงเรียนราชวินิต มัธยม,13.762938,100.5147196
Dusit District,โรงเรียนเซนต์คาเบรียล,13.7759659,100.5064403
Dusit District,โรงเรียนวัดราชาธิวาส,13.7747548,100.5045767
Dusit District,โรงเรียนวัดจันทรสโมสร,13.7910503,100.5153066
Dusit District,โรงเรียนกันตะบุตร,13.7887002,100.51652
Dusit District,โรงเรียนช่างอากาศอำรุง,13.796804,100.5331045
Dusit District,โรงเรียนวัดประชาระบือธรรม,13.7896858,100.5251325
Dusit District,โรงเรียนพณิชยการสามเสน,13.787138,100.5150639
Dusit District,โรงเรียนอักษรเจริญ,13.7787251,100.5196395
Dusit District,โรงเรียนอัมพวันศิกษา,13.7798777,100.519835
Dusit District,โรงเรียนสาธิตมหาวิทยาลัยราชภัฏสวนสุนันทา,13.7734277,100.5074925
Dusit District,Dusit District school 1,13.7794336,100.5152269
Dusit District,โรงเรียนสุโขทัย,13.7763515,100.5221156
Dusit District,โรงเรียนวัดน้อยนพคุณ,13.7842821,100.5208899
Dusit District,โรงเรียนเศรษฐเสถียร,13.7819673,100.5229155
Dusit District,โรงเรียนราชวัตรวิทยา,13.7812333,100.5198733
Dusit District,โรงเรียนวัดสวัสดิ์วารีสีมาราม,13.7807744,100.5157047
Dusit District,โรงเรียนโยนออฟอาร์ค,13.778052,100.5053934
Dusit District,โรงเรียนจิตรลดาวิชาชีพ,13.7697146,100.5142231
Dusit District,โรงเรียนราชินีบน,13.789497,100.5131513
Dusit District,โรงเรียนวชิราวุธวิทยาลัย,13.7761677,100.5180002
Dusit District,โรงเรียนราชวินิต,13.7716644,100.5081753
Dusit District,มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,13.7618921,100.5135911
Dusit District,มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,13.7707483,100.5038232
Dusit District,มหาวิทยาลัยราชภัฏสวนสุนันทา,13.7753986,100.5083453
Dusit District,คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,13.7810792,100.5080147
Dusit District,มหาวิทยาลัยนวมินทราธิราช,13.7810271,100.5051751
Dusit District,สถาบันเทคโนโลยีจิตรลดา,13.7671322,100.5150894
Dusit District,มหาวิทยาลัยสวนดุสิต,13.7771514,100.5113225
Bang Sue District,Bang Sue District school 1,13.8139275,100.5401594
Bang Sue District,โรงเรียนวัดบางโพอมาวาส,13.8088854,100.5199436
Bang Sue District,โรงเรียนวัดสร้อยทอง,13.8133319,100.5176118
Bang Sue District,โรงเรียนโยธินบูรณะ,13.8135216,100.5199624
Bang Sue District,โรงเรียนวัดประชาศรัทธาธรรม,13.818544,100.5191984
Bang Sue District,โรงเรียนวัดมัชฌันติการาม,13.8220564,100.5175644
Bang Sue District,โรงเรียนวัดเลียบราษฏร์บำรุง,13.8287964,100.5211181
Bang Sue District,โรงเรียนโยธินบูรณะ 2 (สุวรรณสุทธาราม),13.8336293,100.5291615
Bang Sue District,โรงเรียนวัดทองสุทธาราม,13.8328359,100.529894
Bang Sue District,ตึกไทย-เยอรมัน,13.8187635,100.5147243
Bang Sue District,Bang Sue District school 2,13.8204912,100.5152357
Bang Sue District,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,13.8218102,100.5140093
Bang Sue District,มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร ศูนย์พระนครเหนือ,13.817596,100.5121398
Bang Sue District,คณะวิศวกรรมศาสตร์,13.8218796,100.5133117
Chatuchak District,อนุบาลสุดารักษ์,13.8448757,100.5815151
Chatuchak District,Veterinary Technology,13.8456681,100.5764959
Chatuchak District,คณะสัตวแพทย์ศาสตร์,13.8451226,100.5770893
Chatuchak District,ภาควิชาพืชไร่นา,13.850176,100.5720578
Chatuchak District,kid fun,13.838373,100.5510337
Chatuchak District,abcdschool,13.8383508,100.5511156
Chatuchak District,Chatuchak District school 1,13.8376082,100.5506193
Chatuchak District,โรงเรียนสาธิตแห่งมหาวิทยาลัยเกษตรศาสตร์,13.8516078,100.5679605
Chatuchak District,โรงเรียนหอวัง,13.8187811,100.560922
Chatuchak District,โรงเรียนสารวิทยา,13.8511698,100.583581
Chatuchak District,โรงเรียนวัดเสมียนนารี,13.8406297,100.5564182
Chatuchak District,โรงเรียนสตรีวรนารถ บางเขน,13.8222198,100.5663203
Chatuchak District,โรงเรียนประชานิเวศน์,13.8438517,100.5466414
Chatuchak District,โรงเรียนอนุบาลคหกรรมศาสตร์,13.844216,100.5710825
Chatuchak District,โรงเรียนบางบัว (เพ่งตั้งตรงจิตรวิทยาคาร),13.8568946,100.5850017
Chatuchak District,โรงเรียนมัธยมประชานิเวศน์,13.8419072,100.5476615
Chatuchak District,วิทยาลัยเทคโนโลยีวราธิปบริหารธุรกิจ,13.8428887,100.5457172
Chatuchak District,โรงเรียนบีคอนเฮาส์ แย้มสอาดลาดพร้าว,13.8027578,100.5669653
Chatuchak District,โรงเรียนวัดเทวสุนทร,13.8538698,100.5619506
Chatuchak District,โรงเรียนธัชรินทร์วิทยา,13.8235246,100.5563057
Chatuchak District,โรงเรียนอรรถมิตร,13.8340011,100.5684787
Chatuchak District,คณะเศรษฐศาสตร์,13.8440842,100.5695476
Chatuchak District,มหาวิทยาลัยเกษตรศาสตร์,13.847942,100.5693598
Chatuchak District,คณะวิศวกรรมศาสตร์,13.8456695,100.5690917
Chatuchak District,Chatuchak District school 2,13.8105146,100.5608173
Chatuchak District,ศูนย์เรียนรวม 1,13.8471534,100.5709504
Chatuchak District,มหาวิทยาลัยศรีปทุม,13.8549521,100.5850672
Chatuchak District,สวน 60 ปี มหาวิทยาลัยเกษตรศาสตร์,13.8498175,100.5661669
Chatuchak District,สมาคมนิสิตเก่ามหาวิทยาลัยเกษตรศาสตร์ ในพระบรมราชูปถัมภ์,13.8466719,100.5790083
Chatuchak District,มหาวิทยาลัยราชภัฏจันทรเกษม,13.8201014,100.5774864
Chatuchak District,มหาวิทยาลัยเซนต์จอห์น,13.8102897,100.5610362
Don Mueang District,โรงเรียน อนุบาลธนินทร,13.9480177,100.6082143
Don Mueang District,โรงเรียนประชาอุทิศ,13.9228583,100.5842238
Don Mueang District,โรงเรียนพระหฤทัยดอนเมือง,13.9250599,100.5886124
Don Mueang District,โรงเรียนวัดเวฬุวนาราม,13.9146455,100.5659088
Don Mueang District,โรงเรียนวัดเวฬุวนาราม (มัธยม),13.9142881,100.5683994
Don Mueang District,โรงเรียนดอนเมืองจาตุรจินดา,13.9146887,100.5931671
Don Mueang District,โรงเรียนนานาชาติ ฮาร์โรว์,13.9061314,100.5835479
Don Mueang District,โรงเรียนสีกัน (วัฒนานันท์อุปถัมภ์),13.9243865,100.594274
Don Mueang District,โรงเรียนวัดดอนเมือง (ทหารอากาศอุทิศ),13.9215473,100.6010901
Don Mueang District,โรงเรียนดอนเมืองทหารอากาศบำรุง,13.9311845,100.6058778
Don Mueang District,โรงเรียนบริบูรณ์ศิลปศึกษา,13.9157717,100.5951525
Lak Si District,Lak Si District school 1,13.8725294,100.5532496
Lak Si District,โรงเรียนชาลีสมุทร,13.8563113,100.5483895
Lak Si District,โรงเรียนกองทัพบกอุปถัมภ์ ไกรอำนวยวิทยา,13.8934432,100.5570029
Lak Si District,ศูนย์ศึกษาพระพุทธศาสนาวันอาทิตย์,13.8891043,100.5825191
Lak Si District,โรงเรียนการเคหะท่าทราย,13.8732618,100.5535495
Lak Si District,โรงเรียนไผทอุดมศึกษา,13.8767126,100.5789536
Lak Si District,โรงเรียนวัดหลักสี่,13.8894641,100.5824185
Lak Si District,โรงเรียนบางเขน (ไว้สาลีอนุสรณ์),13.8607786,100.5673558
Lak Si District,รงเรียนราชวินิตบางเขน,13.8584361,100.5544692
Lak Si District,สถาบันบัณฑิตศึกษาจุฬาภรณ์,13.8825033,100.5789585
Lak Si District,ราชวิทยาลัยจุฬาภรณ์,13.8842285,100.5700754
Lak Si District,มหาวิทยาลัยธุรกิจบัณฑิตย์,13.8706193,100.5510391
Bang Khen District,โรงเรียนมัธยมสาธิตวัดพระศรีมหาธาตุ,13.876353,100.5940693
Bang Khen District,โรงเรียนนนานาชาติกีรพัฒน์,13.8451352,100.6325403
Bang Khen District,บัณฑิตวิทยาลัย,13.8754722,100.5949896
Bang Khen District,กวดวิชาทหารจักรดาวเสธเอส,13.8756846,100.5991403
Bang Khen District,โรงเรียนปราโมชวิทยารามอินทรา,13.8697871,100.6057828
Bang Khen District,โรงเรียนประชาภิบาล,13.8728513,100.5970892
Bang Khen District,โรงเรียนสุขฤทัย,13.8500265,100.6505135
Bang Khen District,โรงเรียนรัตนโกสินทร์สมโภชบางเขน,13.8714307,100.6449992
Bang Khen District,โรงเรียนบ้านคลองบัว (เอี่ยมแสงโรจน์),13.8643311,100.6406476
Bang Khen District,โรงเรียนกองทัพบกอุปถัมภ์ เพชราวุธวิทยา,13.8458831,100.5923835
Bang Khen District,โรงเรียนจารุวรรณ,13.8785022,100.6427015
Bang Khen District,โรงเรียนไทยนิยมสงเคราะห์,13.8773754,100.5986259
Bang Khen District,มหาวิทยาลัยราชภัฏพระนคร,13.8764357,100.5919751
Bang Khen District,มหาวิทยาลัยเกริก,13.873277,100.5994692
Din Daeng District,โรงเรียนกุนนทีรุทธารามวิทยาคม,13.7820645,100.5725336
Din Daeng District,โรงเรียนสามเสนนอก,13.7775663,100.569339
Din Daeng District,Samsen Nok School,13.7744193,100.5723604
Din Daeng District,โรงเรียนพิบูลประชาสรรค์,13.7628882,100.5514513
Din Daeng District,โรงเรียนสุรศักดิ์มนตรี,13.7753011,100.5556257
Din Daeng District,โรงเรียนฝึกอาชีพกรุงเทพมหานคร,13.7686862,100.5566807
Din Daeng District,โรงเรียนวิชากร กรุงเทพมหานคร,13.7677259,100.5550167
Din Daeng District,โรงเรียนวิชูทิศ,13.7676414,100.5562066
Din Daeng District,โรงเรียนสามัคคีบํารุงวิทยา,13.7669516,100.5569482
Din Daeng District,Din Daeng District school 1,13.7971032,100.5737099
Din Daeng District,โรงเรียนนิธิปริญญา,13.7627635,100.5470806
Din Daeng District,โรงเรียนอำนวยพิทยา,13.7739086,100.5664934
Din Daeng District,โรงเรียนจำนงค์พิทยา,13.7649058,100.5595285
Din Daeng District,โรงเรียนแม่พระฟาติมา,13.7602519,100.5560454
Din Daeng District,Phra Nakhon Polytechnic College,13.778306,100.5714559
Din Daeng District,มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก เขตพื้นที่จักรพงษภูวนารถ,13.7780567,100.5568015
Din Daeng District,มหาวิทยาลัยหอการค้าไทย,13.7797232,100.5605535
Huai Khwang District,Shrewsbury International School City Campus,13.7520839,100.577412
Huai Khwang District,SanDee Language School,13.7523802,100.5749634
Huai Khwang District,โรงเรียนวัดอุทัยธาราม,13.7497172,100.5694573
Huai Khwang District,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ รัชดา,13.7729296,100.5747047
Huai Khwang District,บางกอกทวิวิทย์ แผนกประถมศึกษาและมัธยมศึกษา,13.7729032,100.58448
Huai Khwang District,โรงเรียนประชาราษฎร์บำเพ็ญ,13.7763674,100.5837779
Huai Khwang District,โรงเรียนนานาชาติเซ็นทรัล,13.7566008,100.5694653
Huai Khwang District,โรงเรียนพระราม 9 กาญจนาภิเษก,13.7596666,100.592997
Huai Khwang District,โรงเรียนสมาคมไทย-ญี่ปุ่น,13.760874,100.5935469
Huai Khwang District,โรงเรียนจันทร์หุ่นบำเพ็ญ,13.7797287,100.5850666
Huai Khwang District,โรงเรียนนานาชาติเดอะรีเจ้นท์,13.7703239,100.5837533
Khlong Toei District,Australian International School,13.7281689,100.5637277
Khlong Toei District,Vanessa Sukhumvit School,13.7237782,100.5708455
Khlong Toei District,Rockademy,13.7203703,100.5669983
Khlong Toei District,Cooking with Poo and Friends,13.7094599,100.5758245
Khlong Toei District,Khlong Toei District school 1,13.7186349,100.5830004
Khlong Toei District,Khlong Toei District school 2,13.726847,100.5644033
Khlong Toei District,Khlong Toei District school 3,13.727306,100.5644086
Khlong Toei District,Khlong Toei District school 4,13.7275692,100.5650256
Khlong Toei District,Khlong Toei District school 5,13.726876,100.5647653
Khlong Toei District,Khlong Toei District school 6,13.7271873,100.5641797
Khlong Toei District,Khlong Toei District school 7,13.727751,100.5642773
Khlong Toei District,อาคาร 4,13.727818,100.5647528
Khlong Toei District,โรงเรียนสายน้ำผึ้ง,13.7273496,100.5645446
Khlong Toei District,Khlong Toei District school 8,13.7189079,100.581403
Khlong Toei District,โรงเรียนนานาชาติบีเอสบีบริติชไพรแมรี่,13.7363597,100.5527583
Khlong Toei District,โรงเรียนนานาชาติเซนต์แอนดรูว์ส,13.7172537,100.5874184
Khlong Toei District,โรงเรียนคลองเตยวิทยา,13.7227673,100.5582846
Khlong Toei District,โรงเรียนศูนย์รวมน้ำใจ,13.7130301,100.5698841
Khlong Toei District,โรงเรียนพระหฤทัยคอนแวนต์,13.7181034,100.5563001
Khlong Toei District,โรงเรียนสายน้ำทิพย์,13.7277116,100.5655589
Lat Phrao District,โรงเรียนเทพวิทยา,13.8323162,100.5910547
Lat Phrao District,รร,13.8112725,100.6070379
Lat Phrao District,โรงเรียนลอยสายอนุสรณ์,13.8403901,100.6328487
Lat Phrao District,Study Plus Education,13.8274159,100.5963054
